Competitor;100m_dev;Long_Jump_dev;Shot_Put_dev;High_Jump_dev;400m_dev;Discus_Throw_dev;Pole_Vault_dev;Javelin_Throw_dev;1500m_dev
Gaâl QuÇrin;-0.021122173;1.132395369;0.049972568;0.137350919;0.619628706;0.179868505;0.632930504;-0.837052738;1.487077994
Georg Werthner;-0.163060203;0.432384245;0.119826983;0.640947857;0.644569266;-0.542259715;-0.17173848;1.969656092;1.487077994
Larbi Bourrada;0.636954148;0.673013069;-0.602001974;-0.059708753;1.480078038;-0.97338104;0.632930504;0.232636991;1.487077994
Akihiko Nakamura;1.707941102;0.826140502;-1.463539761;0.531470262;1.342904956;-1.620063028;0.430072777;-0.994071414;1.487077994
Akihiko Nakamura;0.869216379;0.47613494;-1.067698075;0.640947857;1.392786077;-1.587728929;0.632930504;-1.023512416;1.487077994
Beat GÑhwiler;-0.692101951;-0.180125489;-0.089736263;-0.35529826;0.23305002;-0.186584621;0.430072777;0.968662034;1.487077994
Gaâl QuÇrin;-0.421129348;0.508947962;-0.415723533;0.137350919;0.681980107;-0.402145284;0.024357323;-0.336555709;1.487077994
Joe Detmer;0.378885003;0.563636331;-0.543789961;-0.650887768;0.395163663;-0.434479383;0.632930504;-0.444506049;1.487077994
Anis Riahi;0.262753887;0.137067052;-1.952520667;-0.749417603;1.243142715;-0.725486278;-0.374596207;0.006922644;1.487077994
Nadir El Fassi;-0.188867117;-0.573881747;-0.555432364;0.432940426;-0.46528567;-0.908712841;-0.563930086;-0.768357067;1.487077994
Andreas Hensse;-2.53729634;-1.339518914;0.131469386;-0.83699968;0.058466098;0.039754074;-1.138693646;0.213009656;1.487077994
Johann Muchitsch;0.004684742;-0.311377575;-2.697634429;-1.592395087;-0.215880066;-2.79486864;-5.317562824;-3.938171585;1.487077994
Christian Schenk;-0.717908865;1.460525584;0.573880682;2.403537142;0.345282542;0.567877698;-0.374596207;0.585929011;1.427102987
Jeremy Taiwo;0.753085264;0.673013069;-0.182875483;2.086052115;1.006207392;-1.609284995;0.842550155;-1.102021753;1.427102987
Arthur Abele;0.778892178;0.191755421;-0.555432364;0.038821083;0.769272068;-0.45603545;0.632930504;0.399469334;1.427102987
Florian Geffrouais;0.095008943;0.158942399;0.830013537;-0.35529826;0.532336745;0.503209499;0.024357323;0.939221032;1.427102987
Gaâl QuÇrin;0.004684742;0.935517241;-0.520505156;0.531470262;0.569747585;-0.391367251;0.842550155;-1.102021753;1.427102987
Kamil Dama?ek;-0.253384403;-0.464505009;0.166396593;0.038821083;1.405256357;0.233758671;0.22721505;-0.434692381;1.427102987
Edgars Erin?;0.843409465;-0.333252923;0.003402958;-0.552357932;1.031147952;1.311561984;-0.563930086;-0.650593061;1.427102987
Pierre-Alexandre Vial;0.378885003;-0.234813858;-0.99784366;-0.935529516;0.706920667;-0.111138389;0.430072777;-0.091214028;1.427102987
Kun-woo Kim;-0.021122173;0.191755421;-0.706783597;-0.059708753;0.332812262;-0.596149881;0.632930504;-0.591711057;1.427102987
Ji?° Ryba;0.095008943;0.10425403;0.073257373;0.640947857;0.332812262;-1.135051537;0.024357323;-0.876307407;1.427102987
Thomas Fitzsimons Jr;-0.446936262;-0.026998056;-0.90470444;-0.059708753;0.420104223;-0.412923317;0.024357323;0.301332662;1.427102987
Mateo Sossah;-0.963074553;-0.289502227;-0.206160288;0.936537365;0.158228339;-0.07880429;-0.374596207;-0.895934741;1.427102987
Curtis Beach;0.572436862;1.044893979;-1.801169434;-0.83699968;1.717013362;-1.00571514;0.024357323;-1.386618103;1.427102987
Akihiko Nakamura;0.701471435;0.24644379;-1.614890994;-0.158238589;1.193261594;-1.911069923;0.22721505;-0.562270055;1.427102987
Marc Magrans;0.288560802;-0.617632442;-0.799922817;-0.650887768;0.370223102;-1.253609902;-0.563930086;-1.170717424;1.427102987
Ra£l Duany;-0.963074553;-0.694196159;-1.125910088;0.33441059;-0.091177264;-1.997294188;-0.949359767;0.899966363;1.427102987
Frank Nusse;-0.88565381;-1.055139395;-1.568321384;-1.034059351;0.083406658;-1.329056134;-0.17173848;-1.003885081;1.427102987
Regis Chesquire;-1.775992361;-0.803572897;-0.21780269;-1.034059351;-0.240820627;-0.531481682;-2.051553418;-0.228605369;1.427102987
Godtfred Holmvang;-1.634054331;-1.230142176;-1.160837295;-1.778507;-1.600081166;-1.17816367;-1.875743388;-0.925375743;1.427102987
Larbi Bourrada;0.778892178;0.913641893;-0.159590678;1.04601496;1.317964396;-0.165028555;0.430072777;0.949034699;1.367127979
Nicklas Wiberg;0.404691917;0.213630768;0.74851672;0.838007529;0.644569266;0.007419975;-0.17173848;2.627171797;1.367127979
Leonel Su†rez;-0.356612062;-0.026998056;-0.043166652;1.243074631;0.856564029;0.535543599;0.024357323;1.969656092;1.367127979
Gaâl QuÇrin;-0.188867117;1.044893979;-0.636929181;0.038821083;0.956326271;-0.42370135;0.842550155;-0.552456388;1.367127979
Fritz Mehl;-0.304998233;0.432384245;0.515668669;-0.059708753;0.844093749;0.341539002;-0.949359767;0.831270692;1.367127979
Dezs? Szab¢;0.236946973;0.585511678;-0.764995609;-0.35529826;0.694450387;-0.412923317;1.261789458;-1.072580752;1.367127979
Lars Warming;0.056298571;0.377695876;-0.287657106;-0.35529826;1.056088512;0.072088174;0.22721505;-0.797798069;1.367127979
Jan PodebradskÏ;0.520823033;-1.0113887;0.212966203;-0.552357932;0.744331508;0.341539002;0.125786186;-0.01270469;1.367127979
Nadir El Fassi;-0.046929087;0.24644379;-0.229445093;0.235880754;-0.864334636;-0.003358058;0.430072777;0.036363646;1.367127979
Gaâl QuÇrin;-0.808233066;0.585511678;-0.485577949;0.33441059;0.519866465;-0.671596112;0.632930504;-1.052953417;1.367127979
Joe Detmer;0.288560802;0.6183247;-0.90470444;0.432940426;0.819153189;-1.210497769;0.22721505;-0.218791702;1.367127979
Nadir El Fassi;-0.163060203;0.673013069;-0.113021068;-0.749417603;-0.215880066;-0.165028555;0.741121292;-0.689847729;1.367127979
FrÇdÇric Xhonneux;-0.588874292;0.027690313;-0.648571584;0.235880754;0.432574503;-0.359033152;0.328643913;-0.12065503;1.367127979
Jan PodebradskÏ;0.198236601;-0.103561772;0.038330165;-0.650887768;0.794212629;-0.165028555;-0.354310435;-0.709475064;1.367127979
Akihiko Nakamura;1.282127012;0.508947962;-1.556678981;0.235880754;0.956326271;-1.641619095;-0.17173848;-0.787984402;1.367127979
Gaâl QuÇrin;-0.253384403;0.47613494;-1.032770867;0.235880754;0.794212629;-0.682374146;0.22721505;-1.239413095;1.367127979
Philipp Huber;-0.356612062;-0.234813858;0.038330165;-0.935529516;0.956326271;-0.337477085;0.22721505;-0.984257747;1.367127979
Victor Covalenco;0.236946973;0.027690313;0.375959839;-0.158238589;-1.126210519;0.147534406;-0.374596207;0.213009656;1.367127979
Yuriy Zhuravskiy;-0.356612062;-0.180125489;-0.590359571;0.936537365;0.008584977;-0.897934808;-0.760025889;-0.886121074;1.367127979
Gaâl QuÇrin;-0.588874292;0.585511678;-1.277261321;-0.83699968;0.557277305;-1.512282697;-0.563930086;-1.04313975;1.367127979
Ashton Eaton;2.598279653;1.930845558;0.410887046;0.432940426;2.9515711;0.233758671;1.261789458;0.919593698;1.307152972
Kevin MaIer;-0.253384403;0.880828872;-0.508862754;1.243074631;0.632098986;0.190646538;1.15359867;0.615370013;1.307152972
Jan PodebradskÏ;1.075671695;0.082378683;0.969722368;-0.650887768;1.829245884;0.276870803;0.53150164;-0.218791702;1.307152972
Arthur Abele;0.753085264;0.673013069;-0.369153923;0.739477693;0.769272068;-0.941046941;0.024357323;1.155121711;1.307152972
Phil McMullen;-1.079205669;-0.748884528;0.667019902;-0.158238589;0.257990581;1.818129542;0.883121701;-0.375810378;1.307152972
Florian Geffrouais;-0.227577489;-0.333252923;0.853298342;-0.35529826;0.23305002;1.19300362;0.632930504;0.154127653;1.307152972
Hans van Alphen;-0.421129348;0.6183247;0.189681398;-0.83699968;0.145758059;0.718770162;0.064928868;0.792016023;1.307152972
Jir° Ryba;-0.111446373;-0.180125489;0.189681398;0.33441059;0.494925904;0.12597834;0.632930504;0.055990981;1.307152972
Hans-Joachim HÑberle;0.146622772;0.191755421;0.282820618;-0.650887768;1.155850754;0.179868505;-0.563930086;1.439718061;1.307152972
Jir° Ryba;-0.279191318;-0.617632442;0.236251008;0.640947857;0.619628706;-0.111138389;0.22721505;0.016736312;1.307152972
Curtis Beach;1.230513183;1.077707;-0.974558855;0.235880754;0.943855991;-1.285944001;1.052169807;-1.514195777;1.307152972
Jeremy Taiwo;0.430498832;0.027690313;-0.2643723;1.243074631;0.744331508;-0.337477085;0.430072777;-1.317922433;1.307152972
Nicklas Wiberg;0.95954058;0.344882854;-8.448981279;1.243074631;0.681980107;-1.72784336;-1.605266418;1.204190047;1.307152972
Kip Janvrin;-0.188867117;-1.361394262;0.06161497;-1.406283175;0.669509827;0.104422273;0.862835928;0.350400998;1.307152972
Marcus Nilsson;-0.046929087;-0.672320811;-0.846492427;0.531470262;0.070936378;0.028976041;0.430072777;-0.140282364;1.307152972
Sa?a Karan;-0.524357006;-0.256689206;-0.299299508;-0.453828096;0.407633943;0.535543599;-0.374596207;-0.1893507;1.307152972
Gaâl QuÇrin;-0.88565381;0.673013069;-0.299299508;-0.453828096;0.644569266;-0.887156775;0.430072777;-1.779164793;1.307152972
Steve Keller;-0.88565381;-1.131703112;0.725231915;-0.059708753;-0.49022623;1.009777057;-0.949359767;0.213009656;1.307152972
Tsuyoshi Shimizu;0.546629947;-0.72700918;-1.265618918;-0.256768425;0.607158426;-1.17816367;0.024357323;-0.1893507;1.307152972
Joe Detmer;-0.188867117;-0.366065944;-1.032770867;-0.552357932;1.392786077;-0.930268908;-0.17173848;-0.483760717;1.307152972
FrÇdÇric Xhonneux;-1.905026934;-1.306705893;-0.113021068;0.137350919;0.083406658;-0.445257417;0.328643913;-0.091214028;1.307152972
Jeremy Taiwo;0.004684742;-1.262955198;-1.603248591;0.640947857;-0.365523428;-0.175806588;-0.273167344;-1.366990769;1.307152972
Horst Beyer;-1.105012583;-0.72700918;0.562238279;-0.83699968;0.1831689;-0.100360356;-0.949359767;-0.150096031;1.307152972
S†ndor Munk†csi;-1.234047156;-0.49731803;-2.19701112;-0.453828096;-0.340582868;-1.339834167;-0.760025889;-1.396431771;1.307152972
Uno Palu;-0.279191318;-0.694196159;-0.439008338;-0.650887768;0.307871701;-0.703930212;-5.317562824;0.006922644;1.307152972
Markus Kahma;-0.834039981;-1.131703112;0.899867952;-2.512006888;-0.664810153;0.966664924;-5.317562824;1.223817382;1.307152972
Ashton Eaton;1.888589503;0.771452133;0.352675034;0.531470262;1.692072802;0.858884593;0.024357323;-0.326742042;1.247177964
Michael Schrader;0.985347495;1.537089301;-0.450650741;-0.059708753;1.068558793;-0.563815781;0.632930504;0.203195989;1.247177964
Alain Blondel;1.049864781;0.673013069;-0.485577949;0.33441059;1.205731875;-0.671596112;0.632930504;-0.326742042;1.247177964
Valeriy Kachanov;-0.021122173;0.727701438;0.038330165;0.640947857;0.694450387;0.707992129;-0.760025889;-0.01270469;1.247177964
Leonel Su†rez;-0.640488122;-0.650445463;-0.671856389;1.352552227;0.432574503;0.64332393;0.125786186;1.292513053;1.247177964
Nadir El Fassi;0.004684742;0.399571223;0.026687763;0.739477693;-0.353053148;-0.229696754;0.632930504;0.281705327;1.247177964
Phil McMullen;-1.182433327;-1.230142176;0.632092694;-0.256768425;0.532336745;1.839685608;1.052169807;0.173754987;1.247177964
Larbi Bourrada;0.95954058;1.405837215;-1.451897358;-0.059708753;1.654661961;-1.081161372;-0.374596207;0.654624682;1.247177964
Kip Janvrin;-0.421129348;-0.781697549;0.049972568;-0.552357932;0.794212629;0.29842687;1.072455579;0.44853767;1.247177964
Arthur Abele;0.353078088;0.804265155;-0.730068402;-0.552357932;0.931385711;-0.757820378;-0.563930086;1.439718061;1.247177964
Eugene Giles;1.346644298;-0.442629661;0.690304707;-0.256768425;1.317964396;0.276870803;-0.374596207;-1.308108765;1.247177964
Joe Detmer;0.430498832;0.563636331;-1.300546126;-0.453828096;0.270460861;-0.434479383;0.450358549;-0.032332025;1.247177964
Gaâl QuÇrin;-0.446936262;-0.333252923;-0.811565219;0.33441059;0.594688146;-0.499147582;0.761407064;-0.886121074;1.247177964
Boris Kawohl;-0.640488122;-0.158250141;-1.149194893;-0.158238589;0.145758059;0.169090472;0.430072777;-0.002891023;1.247177964
Phil McMullen;-1.45340593;-1.361394262;0.352675034;-1.121641428;-0.091177264;1.354674117;0.842550155;-0.218791702;1.247177964
Lars Warming;0.81760255;-0.366065944;-0.310941911;-0.256768425;1.218202155;-0.391367251;0.024357323;-1.945997136;1.247177964
FrÇdÇric Xhonneux;-1.634054331;-0.256689206;-0.113021068;0.235880754;0.021055257;-0.07880429;0.430072777;-0.042145692;1.247177964
Jeremy Taiwo;0.353078088;0.344882854;-0.613644376;1.451082063;0.781742348;-1.318278101;0.470644322;-3.525997561;1.247177964
Akihiko Nakamura;-0.046929087;0.673013069;-1.638175799;0.33441059;1.492548319;-1.69550926;0.430072777;-2.161897815;1.247177964
Daniel Almgren;-0.111446373;0.323007507;0.166396593;-0.749417603;0.86903431;-1.038049239;-0.469263147;-0.503388052;1.247177964
Thomas Fitzsimons Jr;-0.253384403;-0.858261266;-1.393685346;-0.35529826;0.469985344;-0.617705947;0.024357323;0.55648801;1.247177964
Daniel Almgren;0.262753887;0.323007507;-1.032770867;0.33441059;0.345282542;-1.490726631;-0.699168571;-0.248232704;1.247177964
Philipp Huber;-0.614681207;-0.541068725;0.434171851;-0.650887768;0.494925904;-1.027271206;0.024357323;-1.082394419;1.247177964
David Klech;0.636954148;0.913641893;-1.999090277;1.451082063;0.23305002;-1.55539483;-0.719454343;-2.848854522;1.247177964
Eugene Giles;-0.253384403;-0.95670033;-0.07809386;-1.318701099;0.532336745;0.891218692;-0.760025889;-0.611338392;1.247177964
Igor Peresypkin;-1.801799276;-0.880136614;-0.450650741;0.038821083;-0.328112588;0.29842687;0.024357323;-0.415065047;1.247177964
Marian Geisler;-0.834039981;1.099582348;-1.696387812;0.432940426;-0.116117825;-0.876378742;-0.17173848;-1.180531091;1.247177964
PÇter Skoumal;0.430498832;0.24644379;-0.99784366;-1.034059351;0.420104223;-1.490726631;0.632930504;-1.170717424;1.247177964
Michael KÅhne;-0.859846895;-0.694196159;-1.323830931;-0.552357932;0.108347219;-0.930268908;-0.374596207;-0.130468697;1.247177964
Dus†n Kov†cs;-0.666295036;-0.12543712;-2.278507938;0.038821083;0.594688146;-1.372168266;-1.510599479;-0.807611736;1.247177964
