since_timestamp_local_tz,UniqueHosts,LocationID
2020-05-08,14,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-09,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-10,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-11,32,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-12,19,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-13,26,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-14,35,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-15,26,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-16,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-17,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-18,37,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-19,35,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-20,40,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-21,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-22,2,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-23,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-24,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-25,52,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-26,76,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-27,73,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-28,52,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-29,43,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-30,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-31,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-01,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-02,81,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-03,94,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-04,83,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-05,54,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-06,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-07,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-08,79,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-09,117,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-10,87,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-11,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-12,2,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-13,1,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-14,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-15,93,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-16,120,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-17,121,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-18,123,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-19,74,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-20,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-21,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-22,96,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-23,137,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-24,121,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-25,123,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-26,69,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-27,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-28,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-29,93,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-30,163,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-01,148,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-02,116,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-03,76,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-04,1,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-05,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-06,105,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-07,139,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-08,138,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-09,55,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-10,30,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-11,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-12,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-13,91,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-14,135,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-15,140,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-16,120,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-17,46,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-18,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-19,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-20,81,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-21,120,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-22,142,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-23,89,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-24,38,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-25,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-26,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-27,71,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-28,133,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-29,126,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-30,121,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-07-31,46,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-01,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-02,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-03,109,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-04,136,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-05,134,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-06,115,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-07,48,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-08,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-09,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-10,83,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-11,136,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-12,134,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-13,104,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-14,26,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-15,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-16,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-17,115,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-18,137,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-19,150,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-20,127,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-21,61,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-22,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-23,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-24,103,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-25,122,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-26,121,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-27,109,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-28,64,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-29,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-30,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-08-31,89,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-01,127,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-02,126,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-03,119,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-04,39,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-05,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-06,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-07,92,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-08,129,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-09,125,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-10,112,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-11,50,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-12,3,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-13,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-14,82,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-15,93,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-16,114,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-17,112,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-18,41,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-19,1,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-20,1,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-21,98,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-22,110,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-23,148,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-24,140,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-25,35,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-26,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-27,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-28,91,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-29,128,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-09-30,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-02-25,1,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-02-26,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-02-27,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-02-28,26,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-02-29,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-01,2,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-02,74,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-03,62,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-04,63,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-05,39,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-06,47,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-07,3,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-08,4,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-09,100,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-10,96,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-11,107,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-12,8,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-13,42,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-14,5,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-15,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-16,140,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-17,189,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-18,209,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-19,179,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-20,164,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-21,3,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-22,5,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-23,324,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-24,326,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-25,289,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-26,278,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-27,245,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-28,6,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-29,4,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-03-30,309,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
