Date,Count,location,Weekday,GEO
2020-07-16,120,"Weiterstadt, Germany",Thursday,DEU
2020-07-17,46,"Weiterstadt, Germany",Friday,DEU
2020-07-20,81,"Weiterstadt, Germany",Monday,DEU
2020-07-21,120,"Weiterstadt, Germany",Tuesday,DEU
2020-07-22,142,"Weiterstadt, Germany",Wednesday,DEU
2020-07-23,89,"Weiterstadt, Germany",Thursday,DEU
2020-07-24,38,"Weiterstadt, Germany",Friday,DEU
2020-07-27,71,"Weiterstadt, Germany",Monday,DEU
2020-07-28,133,"Weiterstadt, Germany",Tuesday,DEU
2020-07-29,126,"Weiterstadt, Germany",Wednesday,DEU
2020-07-30,121,"Weiterstadt, Germany",Thursday,DEU
2020-07-31,46,"Weiterstadt, Germany",Friday,DEU
2020-08-03,109,"Weiterstadt, Germany",Monday,DEU
2020-08-04,136,"Weiterstadt, Germany",Tuesday,DEU
2020-08-05,134,"Weiterstadt, Germany",Wednesday,DEU
2020-08-06,115,"Weiterstadt, Germany",Thursday,DEU
2020-08-07,48,"Weiterstadt, Germany",Friday,DEU
2020-08-10,83,"Weiterstadt, Germany",Monday,DEU
2020-08-11,136,"Weiterstadt, Germany",Tuesday,DEU
2020-08-12,134,"Weiterstadt, Germany",Wednesday,DEU
2020-08-13,104,"Weiterstadt, Germany",Thursday,DEU
2020-08-14,26,"Weiterstadt, Germany",Friday,DEU
2020-08-17,115,"Weiterstadt, Germany",Monday,DEU
2020-08-18,137,"Weiterstadt, Germany",Tuesday,DEU
2020-08-19,150,"Weiterstadt, Germany",Wednesday,DEU
2020-08-20,127,"Weiterstadt, Germany",Thursday,DEU
2020-08-21,61,"Weiterstadt, Germany",Friday,DEU
2020-08-24,103,"Weiterstadt, Germany",Monday,DEU
2020-08-25,122,"Weiterstadt, Germany",Tuesday,DEU
2020-08-26,121,"Weiterstadt, Germany",Wednesday,DEU
2020-08-27,109,"Weiterstadt, Germany",Thursday,DEU
2020-08-28,64,"Weiterstadt, Germany",Friday,DEU
2020-08-31,89,"Weiterstadt, Germany",Monday,DEU
2020-09-01,127,"Weiterstadt, Germany",Tuesday,DEU
2020-09-02,126,"Weiterstadt, Germany",Wednesday,DEU
2020-09-03,119,"Weiterstadt, Germany",Thursday,DEU
2020-09-04,39,"Weiterstadt, Germany",Friday,DEU
2020-09-07,92,"Weiterstadt, Germany",Monday,DEU
2020-09-08,129,"Weiterstadt, Germany",Tuesday,DEU
2020-09-09,125,"Weiterstadt, Germany",Wednesday,DEU
2020-09-10,112,"Weiterstadt, Germany",Thursday,DEU
2020-09-11,50,"Weiterstadt, Germany",Friday,DEU
2020-09-14,82,"Weiterstadt, Germany",Monday,DEU
2020-09-15,93,"Weiterstadt, Germany",Tuesday,DEU
2020-09-16,114,"Weiterstadt, Germany",Wednesday,DEU
2020-09-17,112,"Weiterstadt, Germany",Thursday,DEU
2020-09-18,41,"Weiterstadt, Germany",Friday,DEU
2020-09-21,98,"Weiterstadt, Germany",Monday,DEU
2020-09-22,110,"Weiterstadt, Germany",Tuesday,DEU
2020-09-23,148,"Weiterstadt, Germany",Wednesday,DEU
2020-09-24,140,"Weiterstadt, Germany",Thursday,DEU
2020-09-25,35,"Weiterstadt, Germany",Friday,DEU
2020-09-28,91,"Weiterstadt, Germany",Monday,DEU
2020-09-29,128,"Weiterstadt, Germany",Tuesday,DEU
2020-09-30,0,"Weiterstadt, Germany",Wednesday,DEU
2020-02-25,1,"Shanghai, China",Tuesday,CHN
2020-02-26,0,"Shanghai, China",Wednesday,CHN
2020-02-27,0,"Shanghai, China",Thursday,CHN
2020-02-28,26,"Shanghai, China",Friday,CHN
2020-03-02,74,"Shanghai, China",Monday,CHN
2020-03-03,62,"Shanghai, China",Tuesday,CHN
2020-03-04,63,"Shanghai, China",Wednesday,CHN
2020-03-05,39,"Shanghai, China",Thursday,CHN
2020-03-06,47,"Shanghai, China",Friday,CHN
2020-03-09,100,"Shanghai, China",Monday,CHN
2020-03-10,96,"Shanghai, China",Tuesday,CHN
2020-03-11,107,"Shanghai, China",Wednesday,CHN
2020-03-12,8,"Shanghai, China",Thursday,CHN
2020-03-13,42,"Shanghai, China",Friday,CHN
2020-03-16,140,"Shanghai, China",Monday,CHN
2020-03-17,189,"Shanghai, China",Tuesday,CHN
2020-03-18,209,"Shanghai, China",Wednesday,CHN
2020-03-19,179,"Shanghai, China",Thursday,CHN
2020-03-20,164,"Shanghai, China",Friday,CHN
2020-03-23,324,"Shanghai, China",Monday,CHN
2020-03-24,326,"Shanghai, China",Tuesday,CHN
2020-03-25,289,"Shanghai, China",Wednesday,CHN
2020-03-26,278,"Shanghai, China",Thursday,CHN
2020-03-27,245,"Shanghai, China",Friday,CHN
2020-03-30,309,"Shanghai, China",Monday,CHN
2020-03-31,0,"Shanghai, China",Tuesday,CHN
2020-04-01,0,"Shanghai, China",Wednesday,CHN
2020-04-02,0,"Shanghai, China",Thursday,CHN
2020-04-03,0,"Shanghai, China",Friday,CHN
2020-04-06,0,"Shanghai, China",Monday,CHN
2020-04-07,0,"Shanghai, China",Tuesday,CHN
2020-04-08,0,"Shanghai, China",Wednesday,CHN
2020-04-09,0,"Shanghai, China",Thursday,CHN
2020-04-10,0,"Shanghai, China",Friday,CHN
2020-04-13,0,"Shanghai, China",Monday,CHN
2020-04-14,0,"Shanghai, China",Tuesday,CHN
2020-04-15,0,"Shanghai, China",Wednesday,CHN
2020-04-16,0,"Shanghai, China",Thursday,CHN
2020-04-17,0,"Shanghai, China",Friday,CHN
2020-04-20,0,"Shanghai, China",Monday,CHN
2020-04-21,0,"Shanghai, China",Tuesday,CHN
2020-04-22,0,"Shanghai, China",Wednesday,CHN
2020-04-23,6,"Shanghai, China",Thursday,CHN
2020-04-24,3,"Shanghai, China",Friday,CHN
2020-04-27,5,"Shanghai, China",Monday,CHN
2020-04-28,432,"Shanghai, China",Tuesday,CHN
2020-04-29,383,"Shanghai, China",Wednesday,CHN
2020-04-30,345,"Shanghai, China",Thursday,CHN
2020-05-01,4,"Shanghai, China",Friday,CHN
2020-05-04,1,"Shanghai, China",Monday,CHN
2020-05-05,2,"Shanghai, China",Tuesday,CHN
2020-05-06,476,"Shanghai, China",Wednesday,CHN
2020-05-07,496,"Shanghai, China",Thursday,CHN
2020-05-08,419,"Shanghai, China",Friday,CHN
2020-05-11,521,"Shanghai, China",Monday,CHN
2020-05-12,539,"Shanghai, China",Tuesday,CHN
2020-05-13,523,"Shanghai, China",Wednesday,CHN
2020-05-14,478,"Shanghai, China",Thursday,CHN
2020-05-15,407,"Shanghai, China",Friday,CHN
2020-05-18,531,"Shanghai, China",Monday,CHN
2020-05-19,516,"Shanghai, China",Tuesday,CHN
2020-05-20,530,"Shanghai, China",Wednesday,CHN
2020-05-21,461,"Shanghai, China",Thursday,CHN
2020-05-22,390,"Shanghai, China",Friday,CHN
2020-05-25,513,"Shanghai, China",Monday,CHN
2020-05-26,504,"Shanghai, China",Tuesday,CHN
2020-05-27,499,"Shanghai, China",Wednesday,CHN
2020-05-28,456,"Shanghai, China",Thursday,CHN
2020-05-29,356,"Shanghai, China",Friday,CHN
2020-06-01,505,"Shanghai, China",Monday,CHN
2020-06-02,570,"Shanghai, China",Tuesday,CHN
2020-06-03,555,"Shanghai, China",Wednesday,CHN
2020-06-04,469,"Shanghai, China",Thursday,CHN
2020-06-05,341,"Shanghai, China",Friday,CHN
2020-06-08,518,"Shanghai, China",Monday,CHN
2020-06-09,545,"Shanghai, China",Tuesday,CHN
2020-06-10,517,"Shanghai, China",Wednesday,CHN
2020-06-11,460,"Shanghai, China",Thursday,CHN
